EMPNO,ENAME,JOB,MGR,HIREDATE,SAL,COMM,DEPTNO,MOBILE,STATUS
7839,Abhijit,PRESIDENT,,12/17/1981,5000,,10,9878612344,Y
7698,Nikhil-REddy,MANAGER,7839,05/01/1981,2850,,30,9878612345,Y
7782,Ramesh-Kumar,MANAGER,7839,06/09/1981,2450,,10,9878612346,Y
7566,Mohan-Raj,MANAGER,7839,04/02/1981,2975,,20,9878612347,Y
7788,Vinay-Kumar,ANALYST,7566,4/19/1987,3000,,20,9878612348,N
7902,FORD,ANALYST,7566,12/03/1981,3000,,20,9878612349,Y
7369,SMITH,CLERK,7902,12/17/1980,800,,20,9878612350,Y
7499,ALLEN,SALESMAN,7698,2/20/1981,1600,300,30,9878612351,N
7521,WARD,SALESMAN,7698,2/22/1981,1250,500,30,9878612352,Y
7654,MARTIN,SALESMAN,7698,9/28/1981,1250,1400,30,9878612353,N
7844,TURNER,SALESMAN,7698,09/08/1981,1500,0,30,9878612354,Y
7876,ADAMS,CLERK,7788,5/23/1987,1100,,20,9878612355,N
7900,JAMES,CLERK,7698,12/03/1981,950,,30,9878612356,Y
7934,"MILLER",CLERK,7782,1/23/1982,1300,,10,9878612357,Y
8000,Theja,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
9000,Giri,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
9001,Naveen,ANALYST,7839,1/23/1982,4000,,10,9878612358,N
9002,Vijay,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
9003,Naresh,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
9004,Pavan,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
9005,Vedardh,"ANALYST",7839,1/23/1982,4000,,10,9878612358,Y
9006,Gangadhar,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
9007,Raghu,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
9008,Rahul,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
9009,Franklin,ANALYST,7839,1/23/1982,4000,,10,9878612358,Y
